src_ip,dst_ip,protocol,length,info,anomaly_score,is_anomaly
2,0,0,55,2,0.16218117921730751,1
0,2,0,66,1,0.05558298295691855,1
2,1,1,74,0,0.20765943222093491,1
2,1,1,74,0,0.20765943222093491,1
1,2,1,255,0,0.19484956663801928,1
1,2,1,279,0,0.08785693475778789,1
2,1,1,80,0,0.23052759753289132,1
2,1,1,80,0,0.23052759753289132,1
1,2,1,192,0,0.16389408549842688,1
1,2,1,216,0,0.19946697542944647,1
2,1,1,92,0,0.21990213810826165,1
2,1,1,92,0,0.21990213810826165,1
2,1,1,92,0,0.21990213810826165,1
2,0,0,173,2,0.12894439626849175,1
2,0,0,93,2,0.18081088855930966,1
2,0,0,16460,2,-0.08751761453118201,-1
2,0,0,4962,2,0.009724179392353594,1
1,2,1,257,0,0.19103301077534368,1
1,2,1,212,0,0.2053113986016864,1
